Spectrum	Date	Time	CO% (1) 191C (2of3)	CO% (1) 191C (2of3) average	CO% (1) 191C (2of3) stdev	CO2% (20) 191C (1of2) R4	CO2% (20) 191C (1of2) R4 average	CO2% (20) 191C (1of2) R4 stdev	H2O% (25) 191C	H2O% (25) 191C average	H2O% (25) 191C stdev	CO (500) 191C (1of3)	CO (500) 191C (1of3) average	CO (500) 191C (1of3) stdev	CO2 low% (4) 191C (2of2)	CO2 low% (4) 191C (2of2) average	CO2 low% (4) 191C (2of2) stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	
N/A	05.04.2023	17:26:48,756	0,002452	0,002452	NaN	0,227448	0,227448	NaN	0,857002	0,857002	NaN	23,912003	23,912003	NaN	-0,275379	-0,275379	NaN	190,637238	190,637238	NaN	0,981193	0,981193	NaN
N/A	05.04.2023	17:26:51,286	0,002230	0,002341	0,000157	0,210921	0,219184	0,011687	0,859765	0,858384	0,001953	23,852833	23,882418	0,041839	-0,271948	-0,273664	0,002426	190,637238	190,637238	0,000000	0,981086	0,981139	0,000076
N/A	05.04.2023	17:26:53,058	0,002406	0,002363	0,000117	0,180388	0,206252	0,023875	0,845003	0,853923	0,007848	24,232043	23,998960	0,204013	-0,283309	-0,276879	0,005827	190,637238	190,637253	0,000019	0,981300	0,981193	0,000107
N/A	05.04.2023	17:26:55,023	0,002407	0,002374	0,000098	0,194424	0,203295	0,020371	0,855849	0,854405	0,006480	24,156252	24,038282	0,184209	-0,282650	-0,278322	0,005564	190,535492	190,611816	0,050873	0,981300	0,981220	0,000103
N/A	05.04.2023	17:26:56,691	0,002372	0,002373	0,000085	0,235941	0,209824	0,022899	0,859437	0,855411	0,006046	24,112371	24,053101	0,162934	-0,284404	-0,279538	0,005534	190,637238	190,616898	0,045502	0,981300	0,981236	0,000096
N/A	05.04.2023	17:26:58,721	0,002678	0,002424	0,000146	0,203746	0,208811	0,020631	0,839678	0,852789	0,008397	23,903111	24,028101	0,158074	-0,280120	-0,279635	0,004955	190,637238	190,620285	0,041537	0,981139	0,981220	0,000094
N/A	05.04.2023	17:27:01,003	0,002527	0,002439	0,000139	0,196607	0,207068	0,019391	0,852406	0,852734	0,007666	23,781218	23,992832	0,171844	-0,280966	-0,279825	0,004551	190,586365	190,615448	0,040027	0,981139	0,981208	0,000091
N/A	05.04.2023	17:27:02,660	0,001925	0,002375	0,000222	0,197044	0,205815	0,018299	0,846117	0,851907	0,007473	23,980593	23,991302	0,159155	-0,276600	-0,279422	0,004365	190,586365	190,611816	0,038456	0,981139	0,981199	0,000088
N/A	05.04.2023	17:27:04,633	0,002317	0,002368	0,000209	0,231718	0,208693	0,019171	0,863560	0,853202	0,007997	24,085066	24,001720	0,152122	-0,275049	-0,278936	0,004336	190,535492	190,603333	0,044057	0,981139	0,981193	0,000085
N/A	05.04.2023	17:27:06,862	0,002567	0,002388	0,000207	0,187611	0,206585	0,019265	0,849637	0,852845	0,007624	23,837477	23,985296	0,152536	-0,272275	-0,278270	0,004598	190,637238	190,606720	0,042900	0,981139	0,981187	0,000082
